Question ID,Category,Personality System,Trait / Dimension,Option A,Option B,One-Line Question,Option A Score Code,Option B Score Code,Scoring Logic,Weight,Reverse Scored?,AI Interpretation Tag
NORM-001,Core Personality,MBTI,Introversion vs Extraversion,spend a quiet weekend alone,attend a massive party full of strangers,Would You Rather… spend a quiet weekend alone OR attend a massive party full of strangers?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-002,Core Personality,MBTI,Introversion vs Extraversion,text a few close friends,network with hundreds of new people,Would You Rather… text a few close friends OR network with hundreds of new people?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-003,Core Personality,MBTI,Introversion vs Extraversion,recharge alone after work,socialize to gain energy,Would You Rather… recharge alone after work OR socialize to gain energy?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-004,Core Personality,MBTI,Introversion vs Extraversion,observe quietly in social settings,become the center of attention,Would You Rather… observe quietly in social settings OR become the center of attention?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-005,Core Personality,MBTI,Introversion vs Extraversion,have deep one-on-one conversations,thrive in large social groups,Would You Rather… have deep one-on-one conversations OR thrive in large social groups?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-006,Core Personality,MBTI,Introversion vs Extraversion,work independently in silence,brainstorm with an energetic team,Would You Rather… work independently in silence OR brainstorm with an energetic team?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-007,Core Personality,MBTI,Introversion vs Extraversion,take a solo retreat,host a packed community event,Would You Rather… take a solo retreat OR host a packed community event?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-008,Core Personality,MBTI,Introversion vs Extraversion,process thoughts privately,talk through ideas out loud,Would You Rather… process thoughts privately OR talk through ideas out loud?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-009,Core Personality,MBTI,Introversion vs Extraversion,enjoy a calm dinner with one friend,go to a loud group celebration,Would You Rather… enjoy a calm dinner with one friend OR go to a loud group celebration?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-010,Core Personality,MBTI,Introversion vs Extraversion,read alone on Friday night,go out with friends on Friday night,Would You Rather… read alone on Friday night OR go out with friends on Friday night?,I,E,"Option A +1 to I; Option B +1 to E. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests I vs E tendencies within MBTI.
NORM-011,Core Personality,MBTI,Thinking vs Feeling,make the rational choice,make the compassionate choice,Would You Rather… make the rational choice OR make the compassionate choice?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
NORM-012,Core Personality,MBTI,Thinking vs Feeling,tell someone the hard truth,protect their feelings,Would You Rather… tell someone the hard truth OR protect their feelings?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
NORM-013,Core Personality,MBTI,Thinking vs Feeling,use evidence and data,trust emotional instincts about people,Would You Rather… use evidence and data OR trust emotional instincts about people?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
NORM-014,Core Personality,MBTI,Thinking vs Feeling,solve the problem logically,support the person emotionally,Would You Rather… solve the problem logically OR support the person emotionally?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
NORM-015,Core Personality,MBTI,Thinking vs Feeling,prioritize fairness and truth,prioritize harmony and empathy,Would You Rather… prioritize fairness and truth OR prioritize harmony and empathy?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
NORM-016,Core Personality,MBTI,Thinking vs Feeling,win an argument logically,preserve the relationship emotionally,Would You Rather… win an argument logically OR preserve the relationship emotionally?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
NORM-017,Core Personality,MBTI,Thinking vs Feeling,evaluate people by results,evaluate people by intentions,Would You Rather… evaluate people by results OR evaluate people by intentions?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
NORM-018,Core Personality,MBTI,Thinking vs Feeling,choose efficiency,choose emotional connection,Would You Rather… choose efficiency OR choose emotional connection?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
NORM-019,Core Personality,MBTI,Thinking vs Feeling,make a decision based on rules,make a decision based on values,Would You Rather… make a decision based on rules OR make a decision based on values?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
NORM-020,Core Personality,MBTI,Thinking vs Feeling,be respected for objectivity,be loved for compassion,Would You Rather… be respected for objectivity OR be loved for compassion?,T,F,"Option A +1 to T; Option B +1 to F. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests T vs F tendencies within MBTI.
