Category,Topic,One-Line Question
Motivation,,Would You Rather… achieve your biggest goal OR discover your deepest identity?
Core Personality,,Would You Rather… analyze risks carefully OR try it and learn?
Core Personality,,Would You Rather… arrive 30 minutes early OR barely make it on time?
Motivation,,Would You Rather… ask trusted people for advice OR trust your own authority?
Core Personality,,Would You Rather… attend an avant-garde performance OR watch a familiar favorite movie?
Core Personality,,Would You Rather… avoid conflict to keep peace OR challenge people directly?
Core Personality,,Would You Rather… avoid uncertainty OR embrace uncertainty calmly?
Motivation,,Would You Rather… avoid unnecessary conflict OR compete to win?
Core Personality,,Would You Rather… be accurate OR be adaptable?
Relationships,,Would You Rather… be cared for through action OR be cared for through words?
Relationships,,Would You Rather… be comforted physically OR be comforted verbally?
Core Personality,,Would You Rather… be feared as decisive OR be trusted as steady?
Motivation,,Would You Rather… be known as responsible OR be known as fun?
Core Personality,,Would You Rather… be known by everyone in town OR be known deeply by a few people?
Core Personality,,Would You Rather… be liked by everyone OR be respected even if disliked?
Motivation,,Would You Rather… be loved for helping OR be respected for knowledge?
Motivation,,Would You Rather… be morally correct OR be wildly free?
Motivation,,Would You Rather… be needed by the people you love OR be completely self-sufficient?
Motivation,,Would You Rather… be praised for excellence OR be valued for uniqueness?
Relationships,,Would You Rather… be praised in public OR spend quiet time together?
Core Personality,,Would You Rather… be respected for objectivity OR be loved for compassion?
Motivation,,Would You Rather… be seen as impressive OR be seen as original?
Motivation,,Would You Rather… be successful and admired OR be authentic and misunderstood?
Relationships,,Would You Rather… be surprised with something personal OR be surprised with an adventure?
Core Personality,,Would You Rather… be the calming presence OR be the catalyst for change?
Core Personality,,Would You Rather… be the social spark OR be the quiet strategist?
Motivation,,Would You Rather… belong to a protective community OR stand alone with power?
Motivation,,Would You Rather… blend into harmony OR stand out through achievement?
Core Personality,,Would You Rather… brainstorm future possibilities OR focus on practical realities right now?
Core Personality,,Would You Rather… build a disciplined morning routine OR wake up and follow your mood?
Core Personality,,Would You Rather… build a huge social circle OR keep a small trusted circle?
Motivation,,Would You Rather… build a legacy of wins OR build a life of meaning?
Relationships,,Would You Rather… build memories through shared adventures OR build confidence through independence?
Core Personality,,Would You Rather… celebrate publicly OR celebrate privately?
Core Personality,,Would You Rather… challenge authority OR respect the existing process?
Core Personality,,Would You Rather… change your worldview after new evidence OR stick with long-held beliefs?
Motivation,,Would You Rather… choose discipline OR choose joy and spontaneity?
Core Personality,,Would You Rather… choose efficiency OR choose emotional connection?
Core Personality,,Would You Rather… choose precision OR choose speed?
Motivation,,Would You Rather… choose stability OR choose strength?
Core Personality,,Would You Rather… choose the objectively best solution OR choose the solution that makes people feel safest?
Motivation,,Would You Rather… clean up the mess OR start a new adventure?
Relationships,,Would You Rather… collect reminders of love OR collect moments of love?
Core Personality,,Would You Rather… compete to win OR cooperate to maintain harmony?
Core Personality,,Would You Rather… complete every task before relaxing OR relax first and finish later?
Motivation,,Would You Rather… connect through care OR connect through ideas?
